City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Portobelo,PA,82.81,overcast clouds,9.55,-79.65,Scuba Portobelo
473,Pelaya,CO,84.85,scattered clouds,8.6882,-73.6645,HOTEL JERCHRIAS
475,Tricase,IT,78.31,broken clouds,39.9304,18.3553,Hotel Adriatico
476,Barao De Melgaco,BR,82.92,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
477,Tura,IN,75.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
478,Tabou,CI,75.36,broken clouds,4.423,-7.3528,hotêl doufoulougou
480,Ochakiv,UA,77.14,scattered clouds,46.6128,31.5498,Briz
481,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
482,Kampong Cham,KH,79.32,light rain,11.9934,105.4635,7 Makara Hotel
484,San Quintin,MX,72.36,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
490,Cairns,AU,71.94,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
491,Borba,BR,82.38,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
494,San Ramon,US,87.39,clear sky,37.7799,-121.978,San Ramon Marriott
497,Tezu,IN,77.11,scattered clouds,27.9167,96.1667,Circuit House
499,Grand-Santi,GF,73.99,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
500,Parrita,CR,81.52,overcast clouds,9.5201,-84.3225,Beso del Viento
502,Kandrian,PG,79.48,light rain,-6.2167,149.55,Kandrian Station
504,Palmer,US,73.0,overcast clouds,42.1584,-72.3287,Wedgewood Motel
507,Independencia,BR,79.66,few clouds,-5.3964,-40.3086,Pousada Santa Cruz
510,Dafeng,CN,84.69,overcast clouds,23.4517,108.5881,Shenglong Hotel
512,Amuntai,ID,74.57,overcast clouds,-2.4177,115.2494,Hotel Balqis
514,Diamantino,BR,74.75,overcast clouds,-14.4086,-56.4461,Hotel Delta
517,The Pas,CA,71.62,scattered clouds,53.8251,-101.2541,Wescana Inn
518,Panorama,GR,87.42,clear sky,40.5878,23.0315,Panorama Hotel
519,Hami,CN,82.87,overcast clouds,42.8,93.45,Laoyutang Resort
521,Lompoc,US,88.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
522,Panama City,PA,87.06,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
523,Sterling,US,84.27,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
526,Meulaboh,ID,76.03,overcast clouds,4.1363,96.1285,Kost Pria
531,Mahesana,IN,80.15,overcast clouds,23.6,72.4,ONGC Society
532,Nichinan,JP,83.88,overcast clouds,31.6,131.3667,Guest House Aki
533,Nantucket,US,73.96,mist,41.2835,-70.0995,Jared Coffin House
536,Lamar,US,89.64,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
540,Axim,GH,76.05,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
544,Jieshi,CN,81.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
546,Wiwili,NI,83.14,broken clouds,13.6268,-85.8254,Hospedaje gladita
548,Kapuskasing,CA,71.69,smoke,49.4169,-82.4331,Park Inn Motel
551,Terney,RU,73.27,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
552,Mackenzie,CA,73.62,few clouds,55.2999,-123.1698,Hilton Shop
553,Mount Pleasant,US,76.3,light intensity drizzle,32.7941,-79.8626,Best Western Patriots Point
554,Namatanai,PG,82.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
555,Emiliano Zapata,MX,88.65,broken clouds,18.8333,-99.1833,Parador De Manolos Hotel
556,Kitimat,CA,70.18,broken clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
559,Morondava,MG,71.08,broken clouds,-20.2833,44.2833,La Case Bambou
561,Matara,LK,76.84,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
562,Fuling,CN,80.58,scattered clouds,29.7022,107.3919,Yingbin Hostel
565,Ejea De Los Caballeros,ES,72.59,clear sky,42.1263,-1.1372,Hotel Ciudad De Ejea
567,Honiara,SB,84.0,scattered clouds,-9.4333,159.95,Heritage Park Hotel
570,Kharan,PK,84.83,clear sky,28.5833,65.4167,Dil Aram Bangla
571,Erenhot,CN,71.01,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
572,Tomatlan,MX,77.83,overcast clouds,19.9333,-105.25,El Salvial
573,Kushiro,JP,77.95,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
575,Amga,RU,70.61,broken clouds,60.8953,131.9608,Algys
578,Guerrero Negro,MX,77.74,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
580,Edson,CA,84.34,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
581,Key West,US,89.6,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
582,Ucluelet,CA,82.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
583,Bien Hoa,VN,80.58,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
584,Mayskiy,RU,80.44,moderate rain,47.6931,40.1025,Dio Lakrua
585,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
586,Alvorada,BR,77.49,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
587,Missoula,US,72.84,scattered clouds,47.0166,-113.8009,Gold Creek Cabin
589,Sabha,LY,89.33,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
591,Kailua,US,85.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
593,Baghmara,IN,79.75,broken clouds,23.795,86.2085,Shankar tea shop
596,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
599,Chickasha,US,84.52,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
601,Phan Thiet,VN,80.02,overcast clouds,10.9333,108.1,Hotel Saigon-PT
602,Kencong,ID,75.06,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
604,Kudahuvadhoo,MV,82.11,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
611,Da Nang,VN,89.65,few clouds,16.0678,108.2208,Sun River Hotel
612,Baramati,IN,75.63,overcast clouds,18.15,74.5833,Shikshak society
613,Jacqueville,CI,76.91,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
614,Ziniare,BF,73.44,broken clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
615,Lenger,KZ,71.04,broken clouds,42.183,69.8839,Gostevoy Dom 1
616,Bogale,MM,77.94,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
620,Lanigan,CA,82.29,few clouds,51.8501,-105.0344,Ross Inn
621,Casas Grandes,MX,88.45,clear sky,30.3667,-107.95,Pueblo del Soul B&B
623,Fairbanks,US,82.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
625,Timizart,DZ,76.95,clear sky,36.8,4.2667,yefssah restaurant
626,Samana,DO,84.16,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
627,Orchard Homes,US,81.59,overcast clouds,46.8633,-114.0484,Broadway Inn Missoula
628,Lucea,JM,84.06,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
630,Port Blair,IN,81.86,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
633,Matadi,CD,73.09,clear sky,-5.8167,13.45,Hotel Vivi Palace
635,Marquette,US,75.78,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
638,Evanston,US,84.58,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
639,Campbell River,CA,79.52,overcast clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
640,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
642,Halifax,CA,74.41,scattered clouds,44.6453,-63.5724,Hotel Halifax
644,Palu,ID,79.95,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
652,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
653,Fuchu,JP,87.87,clear sky,35.6667,139.4833,Hotel Sunlight
655,Wiarton,CA,79.03,haze,44.7407,-81.1332,Waterview On The Bay
656,Cabra,ES,83.89,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
660,Pacifica,US,83.37,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
661,Anton Lizardo,MX,88.21,broken clouds,19.05,-95.9833,Hotel CocoAventura
662,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
664,Akola,IN,77.67,overcast clouds,20.7333,77.0,Hotel City Pride
665,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
669,Maningrida,AU,74.16,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
671,San Nicolas,PH,80.51,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
672,Jiuquan,CN,78.08,overcast clouds,39.7432,98.5174,Jiuquan Hotel
674,Tibagon,PH,76.95,heavy intensity rain,7.2327,125.8628,CM's Haven
