City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Samarai,PG,2021-08-04 00:19:57,-10.6167,150.6667,78.98,83,77,11.86
273,Kuna,US,2021-08-04 00:15:03,43.4918,-116.4201,95.4,33,1,4.61
274,Indian Trail,US,2021-08-04 00:19:58,35.0768,-80.6692,75.72,78,90,8.05
275,Kuching,MY,2021-08-04 00:19:58,1.55,110.3333,79.02,94,20,4.61
276,Lorengau,PG,2021-08-04 00:19:58,-2.0226,147.2712,84.67,72,34,5.88
277,Uyemskiy,RU,2021-08-04 00:19:58,64.4743,40.8524,59.05,77,20,8.95
278,Barcelos,PT,2021-08-04 00:19:59,41.5388,-8.6151,67.84,95,96,1.32
279,General Pico,AR,2021-08-04 00:16:22,-35.6566,-63.7568,53.4,50,0,6.42
280,Dingle,PH,2021-08-04 00:19:59,10.9995,122.6711,83.19,76,100,12.53
281,Trincomalee,LK,2021-08-04 00:19:59,8.5711,81.2335,80.78,77,98,21.25
282,Horqueta,PY,2021-08-04 00:20:00,-23.3428,-57.0597,59.2,43,57,5.55
283,Bontang,ID,2021-08-04 00:20:00,0.1333,117.5,78.53,84,95,6.04
284,Cockburn Town,TC,2021-08-04 00:20:00,21.4612,-71.1419,82.51,77,48,20.83
285,Cap Malheureux,MU,2021-08-04 00:20:01,-19.9842,57.6142,70.29,74,2,1.99
286,Acajutla,SV,2021-08-04 00:20:01,13.5928,-89.8275,86.34,79,79,3.89
287,Norman Wells,CA,2021-08-04 00:20:02,65.282,-126.8329,53.64,87,90,0.0
288,Shanghai,CN,2021-08-04 00:16:35,31.2222,121.4581,85.93,81,75,3.0
289,Antofagasta,CL,2021-08-04 00:20:02,-23.65,-70.4,56.48,78,16,3.94
290,Independence,US,2021-08-04 00:18:04,39.0911,-94.4155,79.88,53,1,1.99
291,Coruripe,BR,2021-08-04 00:20:03,-10.1256,-36.1756,71.67,87,66,9.06
292,Nicoya,CR,2021-08-04 00:20:04,10.1483,-85.452,74.75,91,100,0.36
293,Kiama,AU,2021-08-04 00:20:04,-34.6833,150.8667,57.58,52,13,15.99
