City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Krasnovishersk,RU,60.4078,57.082,49.35,97,6,4.94,clear sky
204,Wewak,PG,-3.5534,143.6268,79.5,85,15,6.51,few clouds
205,Choma,ZM,-16.8065,26.9531,54.05,39,0,2.37,clear sky
206,Adrar,MR,20.5022,-10.0711,93.76,15,37,11.95,scattered clouds
207,Kamenka,RU,51.3223,42.7678,65.28,51,36,7.61,scattered clouds
208,Porto Novo,BJ,6.4965,2.6036,78.62,87,100,6.67,overcast clouds
209,Dikson,RU,73.5069,80.5464,51.06,89,1,5.46,clear sky
210,Sisimiut,GL,66.9395,-53.6735,44.35,94,100,13.44,overcast clouds
211,Belinskiy,RU,52.9647,43.4165,65.1,56,100,6.96,overcast clouds
212,Yabelo,ET,4.8833,38.0833,62.24,55,97,11.88,overcast clouds
213,Cockburn Town,TC,21.4612,-71.1419,82.9,82,35,19.22,scattered clouds
214,The Valley,AI,18.217,-63.0578,82.81,74,40,10.36,scattered clouds
215,Lebedinyy,RU,58.5167,125.5167,62.98,73,93,4.36,overcast clouds
216,Longhua,CN,23.6137,114.1919,79.02,96,100,2.37,light rain
217,Shenjiamen,CN,29.9576,122.298,81.21,84,14,7.76,few clouds
218,Biak,ID,-0.9131,122.8766,78.12,82,93,8.61,overcast clouds
219,Cayenne,GF,4.9333,-52.3333,78.84,89,71,0.0,broken clouds
220,Atambua,ID,-9.1061,124.8925,76.73,56,84,7.43,broken clouds
221,Flinders,AU,-34.5833,150.8552,60.06,61,0,5.99,clear sky
222,Chuy,UY,-33.6971,-53.4616,57.87,89,96,10.42,overcast clouds
223,Srednekolymsk,RU,67.45,153.6833,47.46,72,100,11.45,overcast clouds
224,Nampula,MZ,-15.1165,39.2666,66.15,94,20,0.0,few clouds
225,Mount Isa,AU,-20.7333,139.5,60.57,36,18,12.66,few clouds
226,Shelburne,CA,44.0787,-80.2041,78.13,62,37,5.57,scattered clouds
227,Calbuco,CL,-41.768,-73.1273,51.01,93,100,8.46,light rain
228,Vallenar,CL,-28.5708,-70.7581,66.0,51,1,3.15,clear sky
229,Lodja,CD,-3.4833,23.4333,74.1,48,23,0.85,few clouds
230,Aswan,EG,24.0934,32.907,96.1,11,0,8.05,clear sky
231,Byron Bay,AU,-28.65,153.6167,66.06,50,34,4.14,scattered clouds
232,Makakilo City,US,21.3469,-158.0858,84.52,53,75,11.5,light rain
233,Flagstaff,US,35.1981,-111.6513,90.1,22,1,5.99,clear sky
234,Coracao De Jesus,BR,-16.6853,-44.365,65.12,73,65,11.7,broken clouds
235,Ostrovnoy,RU,68.0531,39.5131,49.6,80,100,3.87,overcast clouds
236,Paka,MY,4.6374,103.4368,76.93,94,20,0.0,few clouds
237,Colomi,BO,-17.35,-65.8667,55.42,82,38,4.54,scattered clouds
238,Goderich,CA,43.7501,-81.7165,78.91,50,44,6.91,scattered clouds
239,Ahipara,NZ,-35.1667,173.1667,57.16,85,54,16.55,broken clouds
240,Sabang,ID,5.8933,95.3214,83.07,73,85,20.78,overcast clouds
241,Jawhar,SO,2.7809,45.5005,73.33,83,100,12.5,overcast clouds
242,Portland,US,45.5234,-122.6762,90.19,44,90,3.0,smoke
243,Lagoa,PT,39.05,-27.9833,72.86,91,0,18.52,clear sky
244,Shieli,KZ,44.1667,66.75,79.84,28,32,3.27,scattered clouds
245,Melo,UY,-32.3667,-54.1833,55.6,95,53,9.82,broken clouds
246,Nyaunglebin,MM,17.95,96.7333,75.49,94,100,4.12,overcast clouds
247,Zhuhai,CN,22.2769,113.5678,83.97,89,40,5.75,light intensity shower rain
248,Penarroya-Pueblonuevo,ES,38.3,-5.2667,78.46,47,0,4.36,clear sky
249,Komsomolskiy,UZ,40.4272,71.7189,76.42,38,32,6.91,scattered clouds
250,Pandan,PH,14.0453,124.1694,86.52,66,36,12.95,scattered clouds
251,Saint Anthony,US,45.0205,-93.218,84.83,64,40,5.01,scattered clouds
252,Klyuchi,RU,52.2667,79.1667,60.15,78,19,6.24,few clouds
253,Hervey Bay,AU,-25.2986,152.8535,60.91,69,46,3.0,scattered clouds
254,Ambilobe,MG,-13.2,49.05,70.77,68,77,1.95,broken clouds
255,Jacobina,BR,-11.1806,-40.5183,67.62,82,96,7.61,overcast clouds
256,Deputatskiy,RU,69.3,139.9,37.08,92,100,5.44,overcast clouds
257,Umm Kaddadah,SD,13.6017,26.6876,83.62,56,31,13.69,scattered clouds
258,Grand Island,US,40.925,-98.342,89.55,48,1,5.99,clear sky
259,Sorland,NO,67.667,12.6934,54.32,87,100,7.58,overcast clouds
260,Souillac,MU,-20.5167,57.5167,68.38,73,40,8.05,scattered clouds
261,Kichera,RU,55.9375,110.0997,57.02,94,99,0.92,light rain
262,Anjozorobe,MG,-18.4,47.8667,53.92,95,10,4.07,clear sky
263,Tromso,NO,69.6496,18.957,53.62,87,75,3.44,light rain
264,Camacha,PT,33.0833,-16.3333,73.53,100,75,10.36,drizzle
265,Roma,US,43.2128,-75.4557,78.82,73,40,5.75,scattered clouds
266,Cabo San Lucas,MX,22.8909,-109.9124,88.52,70,75,5.99,broken clouds
267,Benguela,AO,-12.5763,13.4055,70.11,89,16,1.36,few clouds
268,Saskylakh,RU,71.9167,114.0833,54.45,53,13,8.93,few clouds
269,Faanui,PF,-16.4833,-151.75,79.16,70,39,8.28,scattered clouds
270,Shirokiy,RU,49.758,129.523,69.49,88,58,12.19,broken clouds
271,Itoman,JP,26.1247,127.6694,82.78,89,40,6.91,scattered clouds
272,Aldan,RU,58.6031,125.3894,63.28,73,96,5.23,overcast clouds
273,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,11.5,broken clouds
274,Zemio,CF,5.0314,25.1361,67.64,94,97,1.36,light rain
275,Pevek,RU,69.7008,170.3133,38.62,94,100,3.13,overcast clouds
276,Maceio,BR,-9.6658,-35.7353,72.84,83,20,3.44,few clouds
277,Xai-Xai,MZ,-25.0519,33.6442,62.83,80,0,8.57,clear sky
278,Eyl,SO,7.9803,49.8164,76.93,66,44,24.43,scattered clouds
279,Mashhad,IR,36.297,59.6062,77.14,33,0,9.22,clear sky
280,Sydney,AU,-33.8679,151.2073,61.27,60,0,1.01,clear sky
281,Kungalv,SE,57.871,11.9805,58.86,91,6,5.19,clear sky
282,Yeppoon,AU,-23.1333,150.7333,62.38,50,35,4.83,scattered clouds
283,Japura,ID,-0.3167,102.35,74.91,91,99,2.3,overcast clouds
284,Slave Lake,CA,55.2834,-114.769,85.98,39,1,10.36,clear sky
285,Sindor,RU,62.8629,51.8905,45.37,94,3,4.59,clear sky
